Year,Processing.ID,CageID,Replicate,Population,Site,TransplantTreatment,CageTreatment,SampleLevel,SampleType,Weight-mg,PercentN,PercentC,RatioCN,Note
2023,DCH_H5 SOIL,DCH_H5,5,DC,DC,Home,Herbivore,Cage,SOIL,10.006,0.2,3.1,12.9,
2021,L_DCH_H5,DCH_H5,5,DC,DC,Home,Herbivore,Cage,LITTER,1.591,1.1,44.4,38.5,
2023,DCH_H5 SORU (Plant),DCH_H5,5,DC,DC,Home,Herbivore,Cage,SORU,3.081,1.4,43,30.3,
2023,DCH_H5 LITTER (Plant),DCH_H5,5,DC,DC,Home,Herbivore,Cage,LITTER,2.98,1.6,47,28.6,
2021,P_DCH_H5,DCH_H5,5,DC,DC,Home,Herbivore,Cage,POPRC,2.007,2,39.6,19.6,
2021,M_DCH_H5,DCH_H5,5,DC,DC,Home,Herbivore,Cage,MISC,1.949,2,47.8,23.6,
2023,DCH_H5 MISC (Plant),DCH_H5,5,DC,DC,Home,Herbivore,Cage,MISC,2.986,2.5,44.5,17.1,
2023,DCH_H5 POPRC (Plant),DCH_H5,5,DC,DC,Home,Herbivore,Cage,POPRC,2.98,2.9,48.3,16.6,
2021,S_DCH_H5,DCH_H5,5,DC,DC,Home,Herbivore,Cage,SORU,2.029,3.1,47.9,15,
2023,DCH_H6 SOIL,DCH_H6,6,DC,DC,Home,Herbivore,Cage,SOIL,10.062,0.2,3.5,12.5,
2021,DCH_H6,DCH_H6,6,DC,DC,Home,Herbivore,Cage,SOIL,10.456,0.2,3.5,12.8,
2023,DCH_H6 LITTER (Plant),DCH_H6,6,DC,DC,Home,Herbivore,Cage,LITTER,2.902,0.7,46.1,58.5,
2021,L_DCH_H6,DCH_H6,6,DC,DC,Home,Herbivore,Cage,LITTER,1.727,1.4,42.1,29.1,
2023,DCH_H6 MISC (Plant),DCH_H6,6,DC,DC,Home,Herbivore,Cage,MISC,3.074,1.4,49.5,33.7,
2021,S_DCH_H6,DCH_H6,6,DC,DC,Home,Herbivore,Cage,SORU,1.525,2,47.3,23.3,
2023,DCH_H6 POPRC (Plant),DCH_H6,6,DC,DC,Home,Herbivore,Cage,POPRC,3.077,2.1,43,19.8,
2021,P_DCH_H6,DCH_H6,6,DC,DC,Home,Herbivore,Cage,POPRC,1.764,2.2,43.9,19.9,
2021,M_DCH_H6,DCH_H6,6,DC,DC,Home,Herbivore,Cage,MISC,1.74,3.1,46.9,14.9,
2023,DCH_H6 SORU (Plant),DCH_H6,6,DC,DC,Home,Herbivore,Cage,SORU,3.107,3.3,46.4,14,
2021,DCH_H7,DCH_H7,7,DC,DC,Home,Herbivore,Cage,SOIL,10.694,0.3,3.5,11.5,
2023,DCH_H7 SOIL,DCH_H7,7,DC,DC,Home,Herbivore,Cage,SOIL,10.014,0.5,7.1,12.5,
2021,L_DCH_H7,DCH_H7,7,DC,DC,Home,Herbivore,Cage,LITTER,2.052,1.5,42.7,28.1,
2023,DCH_H7 POPRC (Plant),DCH_H7,7,DC,DC,Home,Herbivore,Cage,POPRC,2.914,2.1,43.9,20.2,
2021,M_DCH_H7,DCH_H7,7,DC,DC,Home,Herbivore,Cage,MISC,1.5,2.1,45.9,21,
2023,DCH_H7 MISC (Plant),DCH_H7,7,DC,DC,Home,Herbivore,Cage,MISC,3.262,2.3,44.8,19.1,
2021,P_DCH_H7,DCH_H7,7,DC,DC,Home,Herbivore,Cage,POPRC,1.624,2.4,44.9,18.1,
2023,DCH_H7 SORU (Plant),DCH_H7,7,DC,DC,Home,Herbivore,Cage,SORU,2.848,2.4,46,18.8,
2023,DCH_H7 LITTER (Plant),DCH_H7,7,DC,DC,Home,Herbivore,Cage,LITTER,2.914,2.6,46.1,17.4,
2021,S_DCH_H7,DCH_H7,7,DC,DC,Home,Herbivore,Cage,SORU,1.674,3.6,47.8,13.2,
2023,DCH_H8 SOIL,DCH_H8,8,DC,DC,Home,Herbivore,Cage,SOIL,9.987,0.2,3.3,12.5,
2021,DCH_H8,DCH_H8,8,DC,DC,Home,Herbivore,Cage,SOIL,10.466,0.3,4,12.8,
2021,L_DCH_H8,DCH_H8,8,DC,DC,Home,Herbivore,Cage,LITTER,1.483,1,45.8,42.6,
2023,DCH_H8 POPRC (Plant),DCH_H8,8,DC,DC,Home,Herbivore,Cage,POPRC,3.195,1.2,42.2,32.7,
2023,DCH_H8 MISC (Plant),DCH_H8,8,DC,DC,Home,Herbivore,Cage,MISC,2.846,1.8,43.1,23.2,
2021,P_DCH_H8,DCH_H8,8,DC,DC,Home,Herbivore,Cage,POPRC,1.816,2.1,44.2,20.6,
2023,DCH_H8 SORU (Plant),DCH_H8,8,DC,DC,Home,Herbivore,Cage,SORU,3,2.4,44.6,18,
2021,M_DCH_H8,DCH_H8,8,DC,DC,Home,Herbivore,Cage,MISC,1.966,2.5,43.5,17.2,
2023,DCH_H8 LITTER (Plant),DCH_H8,8,DC,DC,Home,Herbivore,Cage,LITTER,3.24,2.6,41.9,16,
2021,S_DCH_H8,DCH_H8,8,DC,DC,Home,Herbivore,Cage,SORU,1.854,2.8,46,16.2,
2023,DCH_V1 SOIL,DCH_V1,1,DC,DC,Home,Vegetation,Cage,SOIL,9.971,0.2,3.2,12.2,
2021,DCH_V1,DCH_V1,1,DC,DC,Home,Vegetation,Cage,SOIL,10.09,0.3,3.7,11.9,
2021,L_DCH_V1,DCH_V1,1,DC,DC,Home,Vegetation,Cage,LITTER,1.67,1.3,44.8,32.9,
2023,DCH_V1 LITTER (Plant),DCH_V1,1,DC,DC,Home,Vegetation,Cage,LITTER,3.121,2,47,22.8,
2023,DCH_V1 POPRC (Plant),DCH_V1,1,DC,DC,Home,Vegetation,Cage,POPRC,3.166,2.2,42.3,19.2,
2021,P_DCH_V1,DCH_V1,1,DC,DC,Home,Vegetation,Cage,POPRC,1.913,2.2,44.1,19.6,
2021,S_DCH_V1,DCH_V1,1,DC,DC,Home,Vegetation,Cage,SORU,1.842,2.4,47.3,19,
2023,DCH_V1 MISC (Plant),DCH_V1,1,DC,DC,Home,Vegetation,Cage,MISC,3.248,2.6,45,16.9,
2021,M_DCH_V1,DCH_V1,1,DC,DC,Home,Vegetation,Cage,MISC,1.69,2.8,44.2,15.2,
2023,DCH_V1 SORU (Plant),DCH_V1,1,DC,DC,Home,Vegetation,Cage,SORU,3.145,2.8,44.7,15.9,
2021,DCH_V2,DCH_V2,2,DC,DC,Home,Vegetation,Cage,SOIL,10.185,0.2,2.8,11.5,
2023,DCH_V2 SOIL,DCH_V2,2,DC,DC,Home,Vegetation,Cage,SOIL,9.973,0.2,3,12.3,
2023,DCH_V2 POPRC (Plant),DCH_V2,2,DC,DC,Home,Vegetation,Cage,POPRC,3.212,1.7,43.6,25.2,
2021,L_DCH_V2,DCH_V2,2,DC,DC,Home,Vegetation,Cage,LITTER,1.903,1.9,43.9,22.8,
2023,DCH_V2 LITTER (Plant),DCH_V2,2,DC,DC,Home,Vegetation,Cage,LITTER,3.268,2,45.8,22.1,
2021,P_DCH_V2,DCH_V2,2,DC,DC,Home,Vegetation,Cage,POPRC,1.951,2.6,45.2,17.3,
2021,M_DCH_V2,DCH_V2,2,DC,DC,Home,Vegetation,Cage,MISC,1.782,2.9,45.3,15.4,
2023,DCH_V2 SORU (Plant),DCH_V2,2,DC,DC,Home,Vegetation,Cage,SORU,3.104,3,46.2,15.3,
2021,S_DCH_V2,DCH_V2,2,DC,DC,Home,Vegetation,Cage,SORU,1.515,3.4,47.5,13.6,
2023,DCH_V2 MISC (Plant),DCH_V2,2,DC,DC,Home,Vegetation,Cage,MISC,2.489,3.7,43.2,11.4,
2021,DCH_V3,DCH_V3,3,DC,DC,Home,Vegetation,Cage,SOIL,10.172,0.3,3.9,11.6,
2023,DCH_V3 SOIL,DCH_V3,3,DC,DC,Home,Vegetation,Cage,SOIL,9.999,0.3,4.8,12.4,
2021,L_DCH_V3,DCH_V3,3,DC,DC,Home,Vegetation,Cage,LITTER,1.742,1.2,44.6,36.9,
2023,DCH_V3 POPRC (Plant),DCH_V3,3,DC,DC,Home,Vegetation,Cage,POPRC,2.888,1.5,42.1,26.4,
2023,DCH_V3 LITTER (Plant),DCH_V3,3,DC,DC,Home,Vegetation,Cage,LITTER,3.005,1.7,44,24.6,
2021,P_DCH_V3,DCH_V3,3,DC,DC,Home,Vegetation,Cage,POPRC,1.63,1.8,46.3,25.5,
2021,M_DCH_V3,DCH_V3,3,DC,DC,Home,Vegetation,Cage,MISC,1.581,2.1,43,19.8,
2023,DCH_V3 MISC (Plant),DCH_V3,3,DC,DC,Home,Vegetation,Cage,MISC,3.065,2.2,42.9,19.1,
2021,S_DCH_V3,DCH_V3,3,DC,DC,Home,Vegetation,Cage,SORU,1.949,2.7,46.3,16.8,
2023,DCH_V3 SORU (Plant),DCH_V3,3,DC,DC,Home,Vegetation,Cage,SORU,2.961,2.9,45.5,15.6,
2021,DCH_V4,DCH_V4,4,DC,DC,Home,Vegetation,Cage,SOIL,10.83,0.2,3.3,11.5,
2023,DCH_V4 SOIL,DCH_V4,4,DC,DC,Home,Vegetation,Cage,SOIL,10.03,0.3,4.4,12.4,
2023,DCH_V4 LITTER (Plant),DCH_V4,4,DC,DC,Home,Vegetation,Cage,LITTER,3.041,1.2,45.5,35.6,
2021,L_DCH_V4,DCH_V4,4,DC,DC,Home,Vegetation,Cage,LITTER,1.797,1.3,44.5,33.8,
2023,DCH_V4 POPRC (Plant),DCH_V4,4,DC,DC,Home,Vegetation,Cage,POPRC,3.072,1.4,43.4,29.6,
2021,P_DCH_V4,DCH_V4,4,DC,DC,Home,Vegetation,Cage,POPRC,1.817,1.8,43.7,24,
2021,M_DCH_V4,DCH_V4,4,DC,DC,Home,Vegetation,Cage,MISC,1.569,2.4,43.8,17.9,
2023,DCH_V4 MISC (Plant),DCH_V4,4,DC,DC,Home,Vegetation,Cage,MISC,3.276,2.4,44.5,18.3,
2021,S_DCH_V4,DCH_V4,4,DC,DC,Home,Vegetation,Cage,SORU,1.533,2.5,47.2,18.6,
2023,DCH_V4 SORU (Plant),DCH_V4,4,DC,DC,Home,Vegetation,Cage,SORU,3.117,3.1,47.4,15,
2021,DCH_V5,DCH_V5,5,DC,DC,Home,Vegetation,Cage,SOIL,10.894,0.2,2.9,12.4,
2023,DCH_V5 SOIL,DCH_V5,5,DC,DC,Home,Vegetation,Cage,SOIL,9.951,0.3,3.7,12.3,
2021,L_DCH_V5,DCH_V5,5,DC,DC,Home,Vegetation,Cage,LITTER,1.585,0.8,45.5,52,
2023,DCH_V5 POPRC (Plant),DCH_V5,5,DC,DC,Home,Vegetation,Cage,POPRC,3.181,1.3,44.2,32,
2023,DCH_V5 LITTER (Plant),DCH_V5,5,DC,DC,Home,Vegetation,Cage,LITTER,3.154,2,45.5,22.3,
2023,DCH_V5 SORU (Plant),DCH_V5,5,DC,DC,Home,Vegetation,Cage,SORU,3.071,2.6,45.9,17.1,
2021,M_DCH_V5,DCH_V5,5,DC,DC,Home,Vegetation,Cage,MISC,2.089,2.8,45.1,16,
2021,S_DCH_V5,DCH_V5,5,DC,DC,Home,Vegetation,Cage,SORU,1.726,2.8,46.1,16.2,
2021,P_DCH_V5,DCH_V5,5,DC,DC,Home,Vegetation,Cage,POPRC,1.663,3.1,44.5,14,
2023,DCH_V5 MISC (Plant),DCH_V5,5,DC,DC,Home,Vegetation,Cage,MISC,3.057,3.1,49,15.6,
2021,DCH_V6,DCH_V6,6,DC,DC,Home,Vegetation,Cage,SOIL,10.28,0.2,3.1,11.9,
2023,DCH_V6 SOIL,DCH_V6,6,DC,DC,Home,Vegetation,Cage,SOIL,9.943,0.3,3.7,12,
2021,L_DCH_V6,DCH_V6,6,DC,DC,Home,Vegetation,Cage,LITTER,1.538,1.3,42.4,30.8,
2021,M_DCH_V6,DCH_V6,6,DC,DC,Home,Vegetation,Cage,MISC,2.021,2.2,47.3,20.8,
2021,P_DCH_V6,DCH_V6,6,DC,DC,Home,Vegetation,Cage,POPRC,2.034,2.5,43,16.6,
2023,DCH_V6 SORU (Plant),DCH_V6,6,DC,DC,Home,Vegetation,Cage,SORU,3.277,2.5,45.8,17.8,
2023,DCH_V6 LITTER (Plant),DCH_V6,6,DC,DC,Home,Vegetation,Cage,LITTER,3.297,2.5,46.3,18.1,
2023,DCH_V6 POPRC (Plant),DCH_V6,6,DC,DC,Home,Vegetation,Cage,POPRC,3.169,2.7,44.9,16.5,
2023,DCH_V6 MISC (Plant),DCH_V6,6,DC,DC,Home,Vegetation,Cage,MISC,3.091,2.8,46.3,16.5,
2021,S_DCH_V6,DCH_V6,6,DC,DC,Home,Vegetation,Cage,SORU,1.826,2.8,46.9,16.7,
2021,DCH_V7,DCH_V7,7,DC,DC,Home,Vegetation,Cage,SOIL,10.246,0.3,3.6,11.4,
2023,DCH_V7 SOIL,DCH_V7,7,DC,DC,Home,Vegetation,Cage,SOIL,10.062,0.3,3.7,12,
2023,DCH_V7 LITTER (Plant),DCH_V7,7,DC,DC,Home,Vegetation,Cage,LITTER,3.086,1.2,44.3,35.4,
2021,L_DCH_V7,DCH_V7,7,DC,DC,Home,Vegetation,Cage,LITTER,1.577,1.3,43.4,33.2,
2023,DCH_V7 POPRC (Plant),DCH_V7,7,DC,DC,Home,Vegetation,Cage,POPRC,3.118,1.5,41.7,26.1,
2021,M_DCH_V7,DCH_V7,7,DC,DC,Home,Vegetation,Cage,MISC,1.718,2.3,45,19,
2021,P_DCH_V7,DCH_V7,7,DC,DC,Home,Vegetation,Cage,POPRC,1.833,2.4,43.9,17.8,
2023,NA,DCH_V7,7,DC,DC,Home,Vegetation,Cage,MISC,NA,NA,NA,NA,None
2023,DCH_V7 SORU (Plant),DCH_V7,7,DC,DC,Home,Vegetation,Cage,SORU,3.16,2.6,45.9,17,
2021,S_DCH_V7,DCH_V7,7,DC,DC,Home,Vegetation,Cage,SORU,1.539,5.1,74.5,14.5,
2021,DCH_V8,DCH_V8,8,DC,DC,Home,Vegetation,Cage,SOIL,10.232,0.2,2.5,11.1,
2023,DCH_V8 SOIL,DCH_V8,8,DC,DC,Home,Vegetation,Cage,SOIL,9.995,0.2,3,12.5,
2023,DCH_V8 LITTER (Plant),DCH_V8,8,DC,DC,Home,Vegetation,Cage,LITTER,3.111,0.7,44.9,56.9,
2023,DCH_V8 POPRC (Plant),DCH_V8,8,DC,DC,Home,Vegetation,Cage,POPRC,3.211,1.3,43.6,31.8,
2023,DCH_V8 SORU (Plant),DCH_V8,8,DC,DC,Home,Vegetation,Cage,SORU,3.472,2.3,45.5,19.2,
2021,L_DCH_V8,DCH_V8,8,DC,DC,Home,Vegetation,Cage,LITTER,1.663,2.3,45.4,19.3,
2023,DCH_V8 MISC (Plant),DCH_V8,8,DC,DC,Home,Vegetation,Cage,MISC,3.069,2.3,45.1,19.5,
2021,S_DCH_V8,DCH_V8,8,DC,DC,Home,Vegetation,Cage,SORU,1.538,2.4,42.7,17.4,
2021,P_DCH_V8,DCH_V8,8,DC,DC,Home,Vegetation,Cage,POPRC,1.887,2.8,44.3,15.6,
2021,M_DCH_V8,DCH_V8,8,DC,DC,Home,Vegetation,Cage,MISC,1.661,3.8,44.4,11.5,
2021,DCN_H1,DCN_H1,1,DC,UP,North,Herbivore,Cage,SOIL,10.24,0.2,2.7,11.1,
2023,DCN_H1 SOIL,DCN_H1,1,DC,UP,North,Herbivore,Cage,SOIL,10.031,0.2,2.9,12.1,
2021,L_DCN_H1,DCN_H1,1,DC,UP,North,Herbivore,Cage,LITTER,1.508,0.6,44.9,70.2,
2023,DCN_H1 LITTER (Plant),DCN_H1,1,DC,UP,North,Herbivore,Cage,LITTER,3.224,0.9,43.8,46.9,
2023,DCN_H1 POPRC (Plant),DCN_H1,1,DC,UP,North,Herbivore,Cage,POPRC,2.948,1.1,43.4,38.1,
2021,P_DCN_H1,DCN_H1,1,DC,UP,North,Herbivore,Cage,POPRC,1.57,1.6,43.5,26.1,
2021,M_DCN_H1,DCN_H1,1,DC,UP,North,Herbivore,Cage,MISC,1.547,1.9,44.1,22.5,
2021,S_DCN_H1,DCN_H1,1,DC,UP,North,Herbivore,Cage,SORU,1.803,1.9,47.6,25,
2023,DCN_H1 MISC (Plant),DCN_H1,1,DC,UP,North,Herbivore,Cage,MISC,3.001,2,44.8,21.8,
2023,DCN_H1 SORU (Plant),DCN_H1,1,DC,UP,North,Herbivore,Cage,SORU,3.262,2.1,43.5,20.1,
2021,DCN_H2,DCN_H2,2,DC,UP,North,Herbivore,Cage,SOIL,10.302,0.2,2.5,11,
2023,DCN_H2 SOIL,DCN_H2,2,DC,UP,North,Herbivore,Cage,SOIL,9.97,0.2,2.8,11.7,
2021,L_DCN_H2,DCN_H2,2,DC,UP,North,Herbivore,Cage,LITTER,1.772,0.9,41.5,45.7,
2023,DCN_H2 LITTER (Plant),DCN_H2,2,DC,UP,North,Herbivore,Cage,LITTER,3.235,1,45.3,42.7,
2023,DCN_H2 MISC (Plant),DCN_H2,2,DC,UP,North,Herbivore,Cage,MISC,3.091,1.5,40.8,26.3,
2023,DCN_H2 POPRC (Plant),DCN_H2,2,DC,UP,North,Herbivore,Cage,POPRC,2.975,1.5,42.1,27.8,
2021,P_DCN_H2,DCN_H2,2,DC,UP,North,Herbivore,Cage,POPRC,1.936,1.6,44.2,27.1,
2021,S_DCN_H2,DCN_H2,2,DC,UP,North,Herbivore,Cage,SORU,2.07,1.8,46.3,24.9,
2023,DCN_H2 SORU (Plant),DCN_H2,2,DC,UP,North,Herbivore,Cage,SORU,3.147,2,44.3,21.9,
2021,M_DCN_H2,DCN_H2,2,DC,UP,North,Herbivore,Cage,MISC,1.984,2.4,51.5,20.8,
2021,DCN_H3,DCN_H3,3,DC,UP,North,Herbivore,Cage,SOIL,10.12,0.2,3.4,11.7,
2023,DCN_H3 SOIL,DCN_H3,3,DC,UP,North,Herbivore,Cage,SOIL,10.001,0.2,3.3,12.8,
2023,DCN_H3 LITTER (Plant),DCN_H3,3,DC,UP,North,Herbivore,Cage,LITTER,3.011,0.7,43.5,55.3,
2021,L_DCN_H3,DCN_H3,3,DC,UP,North,Herbivore,Cage,LITTER,1.819,0.8,43.6,51.3,
2023,DCN_H3 POPRC (Plant),DCN_H3,3,DC,UP,North,Herbivore,Cage,POPRC,3.182,1.1,42.7,38.3,
2021,M_DCN_H3,DCN_H3,3,DC,UP,North,Herbivore,Cage,MISC,1.602,2,41.7,20.6,
2023,DCN_H3 SORU (Plant),DCN_H3,3,DC,UP,North,Herbivore,Cage,SORU,3.059,2.1,45.5,21.3,
2023,DCN_H3 MISC (Plant),DCN_H3,3,DC,UP,North,Herbivore,Cage,MISC,3.34,2.1,45.2,21.3,
2021,S_DCN_H3,DCN_H3,3,DC,UP,North,Herbivore,Cage,SORU,1.704,2.2,46,20.4,
2021,P_DCN_H3,DCN_H3,3,DC,UP,North,Herbivore,Cage,POPRC,1.675,2.7,44.7,16.3,
2021,DCN_H4,DCN_H4,4,DC,UP,North,Herbivore,Cage,SOIL,10.289,0.1,2.2,12.7,
2023,DCN_H4 SOIL,DCN_H4,4,DC,UP,North,Herbivore,Cage,SOIL,9.972,0.2,2.8,12.4,
2021,L_DCN_H4,DCN_H4,4,DC,UP,North,Herbivore,Cage,LITTER,1.626,0.8,44.3,55.2,
2023,DCN_H4 POPRC (Plant),DCN_H4,4,DC,UP,North,Herbivore,Cage,POPRC,3.258,1,39.9,36.6,
2023,DCN_H4 LITTER (Plant),DCN_H4,4,DC,UP,North,Herbivore,Cage,LITTER,3.287,1.1,41.7,37.4,
2021,P_DCN_H4,DCN_H4,4,DC,UP,North,Herbivore,Cage,POPRC,2.067,1.2,44.6,34.8,
2023,DCN_H4 MISC (Plant),DCN_H4,4,DC,UP,North,Herbivore,Cage,MISC,3.354,1.9,39.3,20.6,
2021,S_DCN_H4,DCN_H4,4,DC,UP,North,Herbivore,Cage,SORU,1.851,1.9,49.2,25.2,
2023,DCN_H4 SORU (Plant),DCN_H4,4,DC,UP,North,Herbivore,Cage,SORU,3.114,2,45.3,21.6,
2021,M_DCN_H4,DCN_H4,4,DC,UP,North,Herbivore,Cage,MISC,1.545,3.1,44.5,13.9,
2021,DCN_H5,DCN_H5,5,DC,UP,North,Herbivore,Cage,SOIL,10.996,0.2,2.4,12.2,
2023,DCN_H5 SOIL,DCN_H5,5,DC,UP,North,Herbivore,Cage,SOIL,10.063,0.2,3.1,13,
2021,L_DCN_H5,DCN_H5,5,DC,UP,North,Herbivore,Cage,LITTER,1.771,1,42.6,41.4,
2023,DCN_H5 POPRC (Plant),DCN_H5,5,DC,UP,North,Herbivore,Cage,POPRC,3.082,1.2,41.8,34.7,
2023,DCN_H5 MISC (Plant),DCN_H5,5,DC,UP,North,Herbivore,Cage,MISC,3.179,1.5,43.6,27.6,
2021,P_DCN_H5,DCN_H5,5,DC,UP,North,Herbivore,Cage,POPRC,1.793,1.8,43.3,24,
2021,S_DCN_H5,DCN_H5,5,DC,UP,North,Herbivore,Cage,SORU,1.824,2.3,47.7,20.5,
2021,M_DCN_H5,DCN_H5,5,DC,UP,North,Herbivore,Cage,MISC,1.516,2.6,45,16.8,
2023,NA,DCN_H5,5,DC,UP,North,Herbivore,Cage,LITTER,NA,0.9,43.7,49.5,Imputed
2023,DCN_H5 SORU (Plant),DCN_H5,5,DC,UP,North,Herbivore,Cage,SORU,2.988,2.7,46,16.7,
2021,DCN_H6,DCN_H6,6,DC,UP,North,Herbivore,Cage,SOIL,10.088,0.1,1.9,10.2,
2023,DCN_H6 SOIL,DCN_H6,6,DC,UP,North,Herbivore,Cage,SOIL,10.005,0.1,2.4,12.3,
2023,DCN_H6 LITTER (Plant),DCN_H6,6,DC,UP,North,Herbivore,Cage,LITTER,3.584,0.5,43.1,81.7,
2023,DCN_H6 MISC (Plant),DCN_H6,6,DC,UP,North,Herbivore,Cage,MISC,3.092,0.9,45.5,45.9,
2021,L_DCN_H6,DCN_H6,6,DC,UP,North,Herbivore,Cage,LITTER,1.769,1.1,42.2,35.2,
2021,S_DCN_H6,DCN_H6,6,DC,UP,North,Herbivore,Cage,SORU,1.916,1.6,45,26.7,
2021,P_DCN_H6,DCN_H6,6,DC,UP,North,Herbivore,Cage,POPRC,1.698,1.9,43,22.1,
2021,M_DCN_H6,DCN_H6,6,DC,UP,North,Herbivore,Cage,MISC,1.929,1.9,46,23,
