Sample_ID,Rep,"Average 
% soil moist",Dry weight mass,"Dry Weight 
Equivalant Target",Actual Mass Fresh Soil,"Actual Dry Weight 
Equivalent",Rack,unique.id,Volume,IRGA_Date
FNS_H3,1,22.59,4,5.1674,6.6614,5.1565,8,21_8,8.5,19-Nov
FNS_H3,2,22.59,4,5.1674,6.6494,5.1472,8,22_8,8.5,19-Nov
FNS_H4,1,23.33,4,5.2174,6.8737,5.2699,8,07_8,8.5,19-Nov
FNS_H4,2,23.33,4,5.2174,6.8012,5.2143,8,08_8,8.5,19-Nov
FNS_H5,1,26.37,4,5.4328,7.4026,5.4503,7,11_7,8.5,19-Nov
FNS_H5,2,26.37,4,5.4328,7.4415,5.479,7,12_7,8.5,19-Nov
FNS_H6,1,21.7,4,5.1084,6.5356,5.1175,8,09_8,8,19-Nov
FNS_H6,2,21.7,4,5.1084,6.5193,5.1047,8,10_8,8.5,19-Nov
FNS_H7,1,25.35,4,5.3582,7.2473,5.4103,6,31_6,9,17-Nov
FNS_H7,2,25.35,4,5.3582,7.2214,5.391,6,32_6,9,17-Nov
FNS_H8,1,26.38,4,5.4336,7.3649,5.4218,7,03_7,9,19-Nov
FNS_H8,2,26.38,4,5.4336,7.3605,5.4185,7,04_7,8.5,19-Nov
SCH_H1,1,24,4,5.2633,6.9243,5.2623,1,33_1,9,8-Nov
SCH_H1,2,24,4,5.2633,6.9077,5.2497,1,34_1,9,8-Nov
SCH_H2,1,24.22,4,5.2782,6.9661,5.2791,1,37_1,8.5,8-Nov
SCH_H2,2,24.22,4,5.2782,6.9573,5.2725,1,38_1,8.5,8-Nov
SCH_H3,1,22.26,4,5.1456,6.5879,5.1212,5,23_5,8,17-Nov
SCH_H3,2,22.26,4,5.1456,6.5747,5.1109,5,24_5,8,17-Nov
SCH_H4,1,23.3,4,5.215,6.8038,5.2186,3,21_3,9,14-Nov
SCH_H4,2,23.3,4,5.215,6.8705,5.2698,3,22_3,8.5,14-Nov
SCH_H5,1,22.68,4,5.1732,6.7296,5.2035,4,25_4,8.5,14-Nov
SCH_H5,2,22.68,4,5.1732,6.7237,5.1989,4,26_4,8,14-Nov
SCH_H6,1,24.65,4,5.3085,7.0939,5.3453,3,03_3,8.5,14-Nov
SCH_H6,2,24.65,4,5.3085,7.0946,5.3459,3,04_3,9,14-Nov
SCH_H7,1,22.9,4,5.1878,6.7751,5.2238,2,19_2,9,8-Nov
SCH_H7,2,22.9,4,5.1878,6.7219,5.1828,2,20_2,9,8-Nov
SCH_H8,1,25.19,4,5.3468,7.1621,5.3581,4,17_4,9,14-Nov
SCH_H8,2,25.19,4,5.3468,7.2111,5.3947,4,18_4,9,14-Nov
SCH_V1,1,23.08,4,5.1999,6.8398,5.2615,2,13_2,9,8-Nov
SCH_V1,2,23.08,4,5.1999,6.8564,5.2743,2,14_2,9,8-Nov
SCH_V2,1,24.25,4,5.2803,6.9917,5.2965,3,17_3,9.5,14-Nov
SCH_V2,2,24.25,4,5.2803,6.9405,5.2577,3,18_3,8.5,14-Nov
SCH_V3,1,24.22,4,5.2786,7.0249,5.3234,5,27_5,8.5,17-Nov
SCH_V3,2,24.22,4,5.2786,7.0012,5.3054,5,28_5,9,17-Nov
SCH_V4,1,24.2,4,5.2771,6.9325,5.2548,6,07_6,9,17-Nov
SCH_V4,2,24.2,4,5.2771,6.9257,5.2496,6,08_6,8.5,17-Nov
SCH_V5,1,25.72,4,5.385,7.3263,5.442,5,29_5,9,17-Nov
SCH_V5,2,25.72,4,5.385,7.3522,5.4612,5,30_5,9.5,17-Nov
SCH_V6,1,22.63,4,5.1698,6.7354,5.2114,4,15_4,8,14-Nov
SCH_V6,2,22.63,4,5.1698,6.7028,5.1862,4,16_4,8,14-Nov
SCH_V7,1,21.45,4,5.092,6.5133,5.1165,4,19_4,8.5,14-Nov
SCH_V7,2,21.45,4,5.092,6.5214,5.1229,4,20_4,8,14-Nov
SCH_V8,1,24.39,4,5.2902,7.0063,5.2976,5,39_5,9.5,17-Nov
SCH_V8,2,24.39,4,5.2902,6.9901,5.2853,5,40_5,9.5,17-Nov
SCN_H1,1,27.4,4,5.5099,7.5481,5.4797,2,09_2,9.5,8-Nov
SCN_H1,2,27.4,4,5.5099,7.5512,5.4819,2,10_2,9.5,8-Nov
SCN_H2,1,22.9,4,5.1879,6.7758,5.2243,3,11_3,9,14-Nov
SCN_H2,2,22.9,4,5.1879,6.7231,5.1837,3,12_3,8.5,14-Nov
SCN_H3,1,23.62,4,5.2367,6.9099,5.278,2,03_2,8.5,8-Nov
SCN_H3,2,23.62,4,5.2367,6.7911,5.1873,2,04_2,8.5,8-Nov
SCN_H4,1,23.09,4,5.2008,6.7882,5.2209,6,15_6,9,17-Nov
SCN_H4,2,23.09,4,5.2008,6.7888,5.2213,6,16_6,9,17-Nov
SCN_H5,1,22.08,4,5.1337,6.5827,5.129,6,13_6,8.5,17-Nov
SCN_H5,2,22.08,4,5.1337,6.6232,5.1606,6,14_6,8.5,17-Nov
SCN_H6,1,23.63,4,5.2378,6.8314,5.217,1,21_1,8.5,8-Nov
SCN_H6,2,23.63,4,5.2378,6.8724,5.2483,1,22_1,8.5,8-Nov
SCN_H7,1,21.7,4,5.1083,6.4888,5.081,5,41_5,8,17-Nov
SCN_H7,2,21.7,4,5.1083,6.5045,5.0933,5,42_5,8.5,17-Nov
SCN_H8,1,23.36,4,5.219,6.7862,5.2011,4,29_4,8.5,14-Nov
SCN_H8,2,23.36,4,5.219,6.7681,5.1872,4,30_4,8.5,14-Nov
SCS_H1,1,22.79,4,5.1804,6.7849,5.2389,8,05_8,8,19-Nov
SCS_H1,2,22.79,4,5.1804,6.7835,5.2378,8,06_8,8,19-Nov
SCS_H2,1,24.39,4,5.29,6.999,5.2922,6,17_6,8,17-Nov
SCS_H2,2,24.39,4,5.29,6.9635,5.2654,6,18_6,8.5,17-Nov
SCS_H3,1,26.49,4,5.4418,7.3906,5.4325,7,39_7,8.5,19-Nov
SCS_H3,2,26.49,4,5.4418,7.3663,5.4146,7,40_7,8.5,19-Nov
SCS_H4,1,24.16,4,5.2742,6.9477,5.2692,6,21_6,9,17-Nov
SCS_H4,2,24.16,4,5.2742,6.9571,5.2763,6,22_6,8.5,17-Nov
SCS_H5,1,22.93,4,5.19,6.7641,5.2132,7,43_7,8,19-Nov
SCS_H5,2,22.93,4,5.19,6.7137,5.1744,7,44_7,8,19-Nov
SCS_H6,1,23.35,4,5.2183,6.7896,5.2045,7,09_7,8.5,19-Nov
SCS_H6,2,23.35,4,5.2183,6.7652,5.1858,7,10_7,8.5,19-Nov
SCS_H7,1,23.99,4,5.2625,6.9096,5.2519,7,19_7,8.5,19-Nov
SCS_H7,2,23.99,4,5.2625,6.8774,5.2275,7,20_7,8.5,19-Nov
SCS_H8,1,23.31,4,5.2156,6.8025,5.2171,4,01_4,8,14-Nov
SCS_H8,2,23.31,4,5.2156,6.8507,5.254,4,02_4,8,14-Nov
UPH_H1,1,22.6,4,5.1677,6.6572,5.153,1,29_1,8.5,8-Nov
UPH_H1,2,22.6,4,5.1677,6.6604,5.1555,1,30_1,8.5,8-Nov
UPH_H2,1,23.15,4,5.2052,6.7497,5.1869,5,31_5,8.5,17-Nov
UPH_H2,2,23.15,4,5.2052,6.7914,5.2189,5,32_5,8.5,17-Nov
UPH_H3,1,21.6,4,5.1024,6.4633,5.0669,3,31_3,8.5,14-Nov
UPH_H3,2,21.6,4,5.1024,6.4458,5.0532,3,32_3,8.5,14-Nov
UPH_H4,1,22.64,4,5.1704,6.7408,5.2149,1,45_1,8,8-Nov
UPH_H4,2,22.64,4,5.1704,6.6604,5.1527,1,46_1,8,8-Nov
UPH_H5,1,23.24,4,5.2109,6.8473,5.2562,2,05_2,8.5,8-Nov
UPH_H5,2,23.24,4,5.2109,6.8419,5.252,2,06_2,8.5,8-Nov
UPH_H6,1,22.05,4,5.1317,6.6376,5.1738,1,01_1,8,8-Nov
UPH_H6,2,22.05,4,5.1317,6.6793,5.2063,1,02_1,8,8-Nov
UPH_H8,1,22.98,4,5.1935,6.759,5.2057,2,27_2,9,8-Nov
UPH_H8,2,22.98,4,5.1935,6.7195,5.1753,2,28_2,9,8-Nov
UPH_V1,1,23.22,4,5.2099,6.8354,5.248,3,41_3,8.5,14-Nov
UPH_V1,2,23.22,4,5.2099,6.7567,5.1876,3,42_3,8.5,14-Nov
UPH_V2,1,22.38,4,5.1534,6.6446,5.1574,3,13_3,8.5,14-Nov
UPH_V2,2,22.38,4,5.1534,6.5839,5.1103,3,14_3,9.5,14-Nov
UPH_V3,1,21.83,4,5.1169,6.6353,5.1869,2,31_2,9,8-Nov
UPH_V3,2,21.83,4,5.1169,6.6328,5.185,2,32_2,9,8-Nov
UPH_V4,1,24.17,4,5.275,6.8879,5.2231,1,05_1,9,8-Nov
UPH_V4,2,24.17,4,5.275,6.9544,5.2735,1,06_1,9,8-Nov
UPH_V5,1,22.09,4,5.1338,6.6547,5.185,3,47_3,8.5,14-Nov
UPH_V5,2,22.09,4,5.1338,6.6632,5.1916,3,48_3,8.5,14-Nov
UPH_V6,1,24.08,4,5.2689,6.9156,5.2501,2,15_2,8.5,8-Nov
UPH_V6,2,24.08,4,5.2689,6.9406,5.2691,2,16_2,8.5,8-Nov
UPH_V7,1,23.16,4,5.2053,6.7365,5.1766,5,25_5,9,17-Nov
UPH_V7,2,23.16,4,5.2053,6.7908,5.2184,5,26_6,9,17-Nov
UPH_V8,1,21.31,4,5.0834,6.4862,5.1038,2,11_2,9,8-Nov
UPH_V8,2,21.31,4,5.0834,6.4986,5.1136,2,12_2,9,8-Nov
UPS_H1,1,24.51,4,5.299,7.0848,5.348,5,13_5,8,17-Nov
UPS_H1,2,24.51,4,5.299,7.0223,5.3008,5,14_5,8.5,17-Nov
UPS_H2,1,23.42,4,5.223,6.8649,5.2574,8,13_8,8,19-Nov
UPS_H2,2,23.42,4,5.223,6.8107,5.2159,8,14_8,8,19-Nov
UPS_H3,1,20.92,4,5.0579,6.4287,5.0841,6,29_6,8,17-Nov
UPS_H3,2,20.92,4,5.0579,6.3864,5.0506,6,30_6,8,17-Nov
UPS_H4,1,21.91,4,5.1225,6.5984,5.1525,7,21_7,8,19-Nov
UPS_H4,2,21.91,4,5.1225,6.6305,5.1776,7,22_7,8,19-Nov
UPS_H5,1,24.69,4,5.3114,7.052,5.3109,8,11_8,8.5,19-Nov
UPS_H5,2,24.69,4,5.3114,7.0808,5.3326,8,12_8,8.5,19-Nov
UPS_H6,1,26.12,4,5.414,7.3953,5.4638,8,15_8,9,19-Nov
UPS_H6,2,26.12,4,5.414,7.3,5.3934,8,16_8,9,19-Nov
UPS_H7,1,24.24,4,5.2798,6.9654,5.277,7,13_7,8,19-Nov
UPS_H7,2,24.24,4,5.2798,6.9482,5.264,7,14_7,8,19-Nov
UPS_H8,1,22.18,4,5.1403,6.6179,5.1499,7,35_7,8,19-Nov
UPS_H8,2,22.18,4,5.1403,6.6099,5.1436,7,36_7,8,19-Nov
YFH_H1,1,27.69,4,5.5319,7.6127,5.5046,7,33_7,9,19-Nov
YFH_H1,2,27.69,4,5.5319,7.6128,5.5046,7,34_7,9.5,19-Nov
YFH_H2,1,27.67,4,5.5302,7.6484,5.5321,7,15_7,9.5,19-Nov
YFH_H2,2,27.67,4,5.5302,7.6765,5.5524,7,16_7,9.5,19-Nov
YFH_H3,1,27.76,4,5.5371,7.6004,5.4906,7,27_7,8.5,19-Nov
YFH_H3,2,27.76,4,5.5371,7.5683,5.4674,7,28_7,8.5,19-Nov
YFH_H4,1,30.05,4,5.7186,8.1658,5.7118,8,03_8,9.5,19-Nov
YFH_H4,2,30.05,4,5.7186,8.1257,5.6837,8,04_8,9.5,19-Nov
YFH_H5,1,20.66,4,5.0418,6.3385,5.0288,7,37_7,8,19-Nov
YFH_H5,2,20.66,4,5.0418,6.3402,5.0301,7,38_7,8,19-Nov
YFH_H6,1,26.22,4,5.4213,7.4132,5.4696,8,17_8,9,19-Nov
YFH_H6,2,26.22,4,5.4213,7.3752,5.4416,8,18_8,9,19-Nov
YFH_H7,1,26.47,4,5.4399,7.397,5.4391,6,27_6,9,17-Nov
YFH_H7,2,26.47,4,5.4399,7.33,5.3898,6,28_6,9,17-Nov
YFH_H8,1,22.03,4,5.1302,6.5801,5.1305,7,01_7,8,19-Nov
YFH_H8,2,22.03,4,5.1302,6.5901,5.1383,7,02_7,8,19-Nov
YFH_V1,1,23.78,4,5.248,6.9435,5.2923,7,29_7,8.5,19-Nov
YFH_V1,2,23.78,4,5.248,6.9305,5.2824,7,30_7,8,19-Nov
YFH_V2,1,21.51,4,5.0959,6.4514,5.064,8,23_8,8,19-Nov
YFH_V2,2,21.51,4,5.0959,6.4499,5.0628,8,24_8,8.5,19-Nov
YFH_V3,1,25.54,4,5.3719,7.2686,5.4123,7,23_7,8.5,19-Nov
YFH_V3,2,25.54,4,5.3719,7.2817,5.422,7,24_7,8.5,19-Nov
YFH_V4,1,23.41,4,5.2228,6.7938,5.2032,8,19_8,8.5,19-Nov
YFH_V4,2,23.41,4,5.2228,6.7757,5.1893,8,20_8,8.5,19-Nov
YFH_V5,1,22.76,4,5.1783,6.7404,5.2066,7,05_7,8,19-Nov
YFH_V5,2,22.76,4,5.1783,6.6941,5.1708,7,06_7,8,19-Nov
YFH_V6,1,22.9,4,5.188,6.7742,5.223,6,19_6,9,17-Nov
YFH_V6,2,22.9,4,5.188,6.802,5.2444,6,20_6,9,17-Nov
YFH_V7,1,21.89,4,5.1207,6.6113,5.1644,6,23_6,8.5,17-Nov
YFH_V7,2,21.89,4,5.1207,6.5754,5.1364,6,24_6,8.5,17-Nov
YFH_V8,1,24.68,4,5.3106,7.021,5.2883,3,33_3,9,14-Nov
YFH_V8,2,24.68,4,5.3106,7.0686,5.3241,3,34_3,8.5,14-Nov
YFN_H1,1,23.38,4,5.2205,6.8157,5.2222,6,03_6,8.5,17-Nov
YFN_H1,2,23.38,4,5.2205,6.8469,5.2461,6,04_6,9,17-Nov
YFN_H3,1,23.87,4,5.2543,6.8866,5.2426,5,11_5,9,17-Nov
YFN_H3,2,23.87,4,5.2543,6.8926,5.2472,5,12_5,9,17-Nov
YFN_H4,1,24.1,4,5.2704,6.9198,5.2518,6,09_6,9,17-Nov
YFN_H4,2,24.1,4,5.2704,6.9319,5.261,6,10_6,9,17-Nov
YFN_H5,1,23.97,4,5.2607,6.946,5.2814,1,23_1,8,8-Nov
YFN_H5,2,23.97,4,5.2607,6.9355,5.2734,1,24_1,8,8-Nov
YFN_H6,1,23.05,4,5.1984,6.7772,5.2148,2,17_2,8,8-Nov
YFN_H6,2,23.05,4,5.1984,6.8044,5.2358,2,18_2,8,8-Nov
YFN_H7,1,23.93,4,5.2582,6.9166,5.2616,3,01_3,9,14-Nov
YFN_H7,2,23.93,4,5.2582,6.8944,5.2447,3,02_3,8.5,14-Nov
YFN_H8,1,23.86,4,5.2534,6.9672,5.3049,4,21_4,8.5,14-Nov
YFN_H8,2,23.86,4,5.2534,6.9326,5.2785,4,22_4,8.5,14-Nov
