CageID,Rep,Set_Date,Set_Weight,Collection_Date,Collection_Weight,Notes
DCN_H7,2,7/5/23,2.007,9/18/23,2.005,
DCN_H8,1,7/5/23,2.076,9/18/23,2.051,
DCN_H8,2,7/5/23,2.046,9/18/23,2.034,
DCS_H1,1,6/8/23,2.012,9/17/23,1.999,
DCS_H1,2,6/8/23,2.045,9/17/23,2.034,
DCS_H2,1,6/8/23,2.007,9/17/23,2.003,
DCS_H2,2,6/8/23,2.041,9/17/23,2.04,
DCS_H4,1,6/8/23,2.046,9/17/23,1.994,
DCS_H4,2,6/8/23,2.047,9/17/23,1.993,
DCS_H5,1,6/8/23,2.062,9/17/23,1.384,
DCS_H5,2,NA,NA,NA,NA,Litter bag not placed
DCS_H6,1,6/8/23,2,9/17/23,0.231,
DCS_H6,2,6/8/23,2,9/17/23,0.996,
DCS_H7,1,6/8/23,2,9/17/23,1.227,
DCS_H7,2,6/8/23,2,9/17/23,1.061,
DCS_H8,1,6/8/23,1.984,9/17/23,1.965,
DCS_H8,2,6/8/23,2,9/17/23,1.189,
FNH_H1,1,6/13/23,2.073,9/16/23,2.033,
FNH_H1,2,6/13/23,2.036,9/16/23,1.998,
FNH_H2,1,6/13/23,2.044,9/16/23,1.852,
FNH_H2,2,6/13/23,2.021,9/16/23,1.929,
FNH_H3,1,6/13/23,2.047,9/16/23,1.968,
FNH_H3,2,6/13/23,2.003,9/16/23,1.948,
FNH_H4,1,6/13/23,2.038,9/16/23,1.958,
FNH_H4,2,6/13/23,2.025,9/16/23,1.927,
FNH_H5,1,6/13/23,2.022,9/16/23,1.724,
FNH_H5,2,6/13/23,2.056,9/16/23,1.97,
FNH_H6,1,6/13/23,2.04,9/16/23,1.809,
FNH_H6,2,NA,NA,NA,NA,Litter bag not placed
FNH_H7,1,6/13/23,1.992,9/16/23,1.99,
FNH_H7,2,6/13/23,2.01,9/16/23,1.959,
FNH_H8,1,6/13/23,2,9/16/23,1.965,
FNH_H8,2,6/13/23,2.018,9/16/23,1.887,
FNH_V1,1,6/13/23,2.049,9/16/23,1.739,
FNH_V1,2,6/13/23,2.049,9/16/23,2.013,
FNH_V2,1,6/13/23,1.994,9/16/23,1.459,
FNH_V2,2,6/13/23,2.071,9/16/23,1.867,
FNH_V3,1,6/13/23,2.009,9/16/23,1.586,
FNH_V3,2,6/13/23,2.069,9/16/23,1.894,
FNH_V4,1,6/13/23,2.004,9/16/23,1.891,
FNH_V4,2,6/13/23,2.061,9/16/23,1.935,
FNH_V5,1,6/13/23,2.017,9/16/23,1.844,
FNH_V5,2,6/13/23,2.018,9/16/23,1.983,
FNH_V6,1,6/13/23,2.01,9/16/23,1.834,
FNH_V6,2,6/13/23,1.993,9/16/23,1.782,
FNH_V7,1,6/13/23,2.018,9/16/23,1.926,
FNH_V7,2,6/13/23,2.046,9/16/23,1.872,
FNH_V8,1,6/13/23,2.039,9/16/23,1.965,
FNH_V8,2,6/13/23,2.009,9/16/23,1.961,
FNN_H1,1,7/6/23,2.023,9/18/23,1.997,
FNN_H1,2,7/6/23,2.088,9/18/23,2.073,
FNN_H2,1,7/6/23,2,9/18/23,1.302,
FNN_H2,2,7/6/23,2,9/18/23,1.243,
FNN_H3,1,7/6/23,2,9/18/23,1.205,
FNN_H3,2,7/6/23,2,9/18/23,1.265,
FNN_H4,1,7/6/23,2.037,9/18/23,2.018,
FNN_H4,2,7/6/23,2.008,9/18/23,1.978,
FNN_H5,1,7/6/23,2,9/18/23,1.227,
FNN_H5,2,7/6/23,2,9/18/23,1.222,
FNN_H6,1,7/6/23,2.067,9/18/23,2.06,
FNN_H6,2,7/6/23,2.03,9/18/23,2.028,
FNN_H7,1,7/6/23,2,9/18/23,1.265,
FNN_H7,2,7/6/23,2,9/18/23,1.262,
FNS_H1,1,6/9/23,2.067,9/17/23,1.72,
FNS_H1,2,6/9/23,2.028,9/17/23,1.853,
FNS_H2,1,6/9/23,2.054,9/17/23,2.054,
FNS_H2,2,6/9/23,1.995,9/17/23,1.965,
FNS_H3,1,6/9/23,2,9/17/23,1.22,
FNS_H3,2,6/9/23,2,9/17/23,1.221,
FNS_H4,1,6/9/23,2,9/17/23,1.135,
FNS_H4,2,6/9/23,2,9/17/23,0.719,
FNS_H5,1,6/9/23,2.048,9/17/23,2.043,
FNS_H5,2,6/9/23,2.071,9/17/23,1.854,
FNS_H6,1,6/9/23,2.018,9/17/23,1.351,
FNS_H6,2,6/9/23,2.033,9/17/23,1.489,
FNS_H7,1,6/9/23,1.997,9/17/23,1.896,
FNS_H7,2,6/9/23,2,9/17/23,1.977,
FNS_H8,1,6/9/23,2.085,9/17/23,2.085,
FNS_H8,2,6/9/23,2.061,9/17/23,2.06,
SCH_H1,1,6/14/23,2.005,9/16/23,1.979,
SCH_H1,2,6/14/23,2.002,9/16/23,1.958,
SCH_H2,1,6/14/23,2.017,9/16/23,1.878,
SCH_H2,2,6/14/23,2.011,9/16/23,1.956,
SCH_H2,1,6/14/23,2.049,9/16/23,1.984,
SCH_H2,2,6/14/23,2.04,9/16/23,2.021,
SCH_H3,1,6/14/23,2.018,9/16/23,1.827,
SCH_H3,2,6/14/23,2.021,9/16/23,1.945,
SCH_H4,1,6/14/23,2.017,9/16/23,1.875,
SCH_H4,2,6/14/23,2.018,9/16/23,1.807,
SCH_H5,1,6/14/23,2.004,9/16/23,1.896,
SCH_H5,2,6/14/23,2.051,9/16/23,1.962,
SCH_H6,1,6/14/23,2.027,9/16/23,2.011,
SCH_H6,2,6/14/23,2.012,9/16/23,1.988,
SCH_H7,1,6/14/23,2.022,9/16/23,1.979,
SCH_H7,2,6/14/23,2.048,9/16/23,1.885,
SCH_H8,1,6/14/23,2.044,9/16/23,2.041,
SCH_H8,2,6/14/23,2.014,9/16/23,2.013,
SCH_V1,1,6/14/23,2.001,9/16/23,1.987,
SCH_V1,2,6/14/23,2.1,9/16/23,2.097,
SCH_V3,1,6/14/23,2.053,9/16/23,1.807,
SCH_V3,2,6/14/23,2.024,9/16/23,1.962,
SCH_V4,1,6/14/23,2.036,9/16/23,2.032,
SCH_V4,2,6/14/23,2.035,9/16/23,1.375,
SCH_V5,1,6/14/23,2.033,9/16/23,1.996,
SCH_V5,2,6/14/23,2.075,9/16/23,1.936,
SCH_V6,1,6/14/23,2.034,9/16/23,2.01,
SCH_V6,2,6/14/23,2.038,9/16/23,1.884,
SCH_V7,1,6/14/23,2.009,9/16/23,1.949,
SCH_V7,2,6/14/23,2.044,9/16/23,1.496,
SCH_V8,1,6/14/23,2.026,9/16/23,1.985,
SCH_V8,2,6/14/23,2.027,9/16/23,2.022,
SCN_H1,1,7/6/23,2.012,9/18/23,1.979,
SCN_H1,2,7/6/23,2.008,9/18/23,1.939,
SCN_H2,1,7/6/23,2,9/18/23,1.257,
SCN_H2,2,7/6/23,2,9/18/23,1.257,
SCN_H3,1,7/6/23,2.03,9/18/23,2.03,
SCN_H3,2,7/6/23,2.028,9/18/23,2.021,
SCN_H4,1,7/6/23,2,9/18/23,1.261,
SCN_H4,2,7/6/23,2,9/18/23,1.166,
SCN_H5,1,7/6/23,2.002,9/18/23,2,
SCN_H5,2,7/6/23,2.04,9/18/23,2.037,
SCN_H6,1,7/6/23,2,9/18/23,1.233,
SCN_H6,2,7/6/23,2,9/18/23,1.238,
SCN_H7,1,7/6/23,2.02,9/18/23,1.999,
SCN_H7,2,7/6/23,2.046,9/18/23,2.021,
SCN_H8,1,7/6/23,2,9/18/23,1.209,
SCN_H8,2,7/6/23,2,9/18/23,1.227,
SCS_H1,1,6/9/23,2.003,9/17/23,1.959,
SCS_H1,2,6/9/23,2.042,9/17/23,2.029,
SCS_H2,1,6/9/23,2.058,9/17/23,2.047,
SCS_H2,2,6/9/23,2.045,9/17/23,1.673,
SCS_H3,1,6/9/23,2.062,9/17/23,2.062,
SCS_H3,2,6/9/23,2.014,9/17/23,2.01,
SCS_H4,1,6/9/23,2.05,9/17/23,1.912,
SCS_H4,2,6/9/23,2.061,9/17/23,1.959,
SCS_H5,1,6/9/23,2.04,9/17/23,1.958,
SCS_H5,2,6/9/23,2.05,9/17/23,2.035,
SCS_H6,1,6/9/23,2,9/17/23,0.0838,
SCS_H6,2,6/9/23,2.039,9/17/23,1.665,
SCS_H7,1,6/9/23,1.999,9/17/23,1.979,
SCS_H7,2,6/9/23,2.039,9/17/23,1.959,
SCS_H8,1,NA,NA,NA,NA,Litter bag not placed
SCS_H8,2,NA,NA,NA,NA,Litter bag not placed
UPH_H1,1,7/5/23,2,9/18/23,1.247,
UPH_H1,2,7/5/23,2.031,9/18/23,2.005,
UPH_H2,1,7/5/23,2,9/18/23,1.246,
UPH_H2,2,7/5/23,2,9/18/23,1.237,
UPH_H3,1,7/5/23,2,9/18/23,1.222,
UPH_H3,2,7/5/23,2,9/18/23,1.232,
UPH_H4,1,7/5/23,2.026,9/18/23,1.938,
UPH_H4,2,7/5/23,2.038,9/18/23,2.029,
UPH_H5,1,7/5/23,2.017,9/18/23,2.01,
UPH_H5,2,7/5/23,2.054,9/18/23,2.053,
UPH_H6,1,7/5/23,2,9/18/23,1.232,
UPH_H6,2,7/5/23,2,9/18/23,1.262,
UPH_H7,1,7/5/23,2.01,9/18/23,1.991,
UPH_H7,2,7/5/23,2.001,9/18/23,2,
UPH_H8,1,7/5/23,1.999,9/18/23,1.997,
UPH_H8,2,7/5/23,2.024,9/18/23,2.02,
UPH_V1,1,7/5/23,2.051,9/18/23,2.032,
UPH_V1,2,7/5/23,1.999,9/18/23,1.997,
UPH_V2,1,7/5/23,2.017,9/18/23,2.01,
UPH_V2,2,7/5/23,2.018,9/18/23,2.012,
UPH_V3,1,7/5/23,2.095,9/18/23,2.083,
UPH_V3,2,7/5/23,2.009,9/18/23,2.007,
UPH_V4,1,7/5/23,2.039,9/18/23,2.025,
UPH_V4,2,7/5/23,2.03,9/18/23,2.022,
UPH_V5,1,7/5/23,2,9/18/23,1.249,
UPH_V5,2,7/5/23,2,9/18/23,1.246,
UPH_V6,1,7/5/23,2.022,9/18/23,2.01,
UPH_V6,2,7/5/23,1.999,9/18/23,1.987,
UPH_V7,1,7/5/23,2,9/18/23,1.261,
UPH_V7,2,7/5/23,2,9/18/23,1.255,
UPH_V8,1,7/5/23,2.058,9/18/23,2.057,
UPH_V8,2,7/5/23,2.037,9/18/23,2.037,
UPS_H1,1,6/9/23,2,9/17/23,1.228,
UPS_H1,2,6/9/23,2.039,9/17/23,2.006,
UPS_H2,1,6/9/23,2,9/17/23,1.221,
UPS_H2,2,6/9/23,2,9/17/23,1.113,
UPS_H3,1,6/9/23,2.065,9/17/23,1.662,
UPS_H3,2,6/9/23,2.011,9/17/23,1.802,
UPS_H4,1,6/9/23,2.044,9/17/23,2.04,
UPS_H4,2,6/9/23,2,9/17/23,1.213,
UPS_H5,1,6/9/23,2,9/17/23,1.043,
UPS_H5,2,6/9/23,2,9/17/23,1.054,
UPS_H6,1,6/9/23,2.029,9/17/23,2.016,
UPS_H6,2,6/9/23,2.049,9/17/23,1.629,
UPS_H7,1,6/9/23,2.007,9/17/23,1.847,
UPS_H7,2,6/9/23,2,9/17/23,1.206,
UPS_H8,1,6/9/23,2.074,9/17/23,1.907,
UPS_H8,2,6/9/23,2.046,9/17/23,1.97,
YFH_H1,1,NA,NA,NA,NA,Litter bag not placed
YFH_H1,2,NA,NA,NA,NA,Litter bag not placed
YFH_H2,1,6/8/23,2.065,9/17/23,2.058,
YFH_H2,2,6/8/23,1.996,9/17/23,1.993,
YFH_H3,1,6/8/23,2.096,9/17/23,2.095,
YFH_H3,2,6/8/23,2.043,9/17/23,1.979,
YFH_H4,1,6/8/23,2.016,9/17/23,1.363,
YFH_H4,2,6/8/23,2.081,9/17/23,2.066,
YFH_H5,1,6/8/23,2.008,9/17/23,1.982,
YFH_H5,2,6/8/23,2.042,9/17/23,1.17,
YFH_H6,1,6/8/23,2.015,9/17/23,1.843,
YFH_H6,2,6/8/23,2.049,9/17/23,1.692,
YFH_H7,1,6/8/23,2.027,9/17/23,1.958,
YFH_H7,2,6/8/23,2,9/17/23,1.252,
YFH_H8,1,6/8/23,2.005,9/17/23,1.974,
YFH_H8,2,6/8/23,1.999,9/17/23,1.962,
YFH_V1,1,6/8/23,1.998,9/17/23,1.989,
YFH_V1,2,6/8/23,2.039,9/17/23,2.026,
YFH_V2,1,6/8/23,2.032,9/17/23,2.03,
YFH_V2,2,6/8/23,2.008,9/17/23,1.992,
YFH_V3,1,6/8/23,2.033,9/17/23,2.004,
YFH_V3,2,6/8/23,2.058,9/17/23,2.057,
YFH_V4,1,6/8/23,1.994,9/17/23,1.993,
YFH_V4,2,6/8/23,2,9/17/23,1.234,
YFH_V5,1,6/8/23,2.005,9/17/23,0.628,
YFH_V5,2,6/8/23,2.032,9/17/23,0.744,
YFH_V6,1,6/8/23,2,9/17/23,0.956,
YFH_V6,2,6/8/23,2.051,9/17/23,1.695,
YFH_V7,1,6/8/23,2,9/17/23,1.089,
YFH_V7,2,6/8/23,2,9/17/23,1.24,
YFH_V8,1,6/8/23,2.039,9/17/23,2.033,
YFH_V8,2,6/8/23,2.026,9/17/23,2.026,
YFN_H1,1,7/6/23,2.08,9/18/23,2.03,
YFN_H1,2,7/6/23,2,9/18/23,1.165,
YFN_H2,1,7/6/23,1.995,9/18/23,1.994,
YFN_H2,2,7/6/23,2.066,9/18/23,2.066,
YFN_H3,1,7/6/23,2.06,9/18/23,2.01,
YFN_H3,2,7/6/23,2.034,9/18/23,1.981,
YFN_H4,1,7/6/23,2.029,9/18/23,2.025,
YFN_H4,2,7/6/23,2.082,9/18/23,2.07,
YFN_H5,1,7/6/23,2.031,9/18/23,2.03,
YFN_H5,2,7/6/23,2.048,9/18/23,2.042,
YFN_H6,1,7/6/23,2.068,9/18/23,1.631,
YFN_H6,2,7/6/23,2.034,9/18/23,1.557,
YFN_H7,1,7/6/23,2.048,9/18/23,2.047,
YFN_H7,2,7/6/23,2,9/18/23,1.239,
YFN_H8,1,7/6/23,2,9/18/23,1.254,
YFN_H8,2,7/6/23,2.063,9/18/23,2.062,
